name,publisher,custum cpe
Oracle VM VirtualBox Guest Additions 6.1.30,Oracle Corporation,cpe:2.3:a:oracle:vm_virtualbox:*:*:*:*:*:*:*:*
Windows XP Service Pack 2,Microsoft Corporation,cpe:2.3:a:microsoft:windows_xp:*:*:*:*:*:*:*:*
Notepad++,,cpe:2.3:a:notepad-plus-plus:notepad\+\+:*:*:*:*:*:*:*:*
Docker Desktop,Docker Inc.,cpe:2.3:a:desktop:docker_desktop:*:*:*:*:*:*:*:*
Git,The Git Development Community,cpe:2.3:a:git:git:*:*:*:*:*:*:*:*
Notepad++ (64-bit x64),Notepad++ Team,cpe:2.3:a:notepad-plus-plus:notepad\+\+:*:*:*:*:*:*:*:*
Microsoft 365 - en-us,Microsoft Corporation,cpe:2.3:a:microsoft:office_365:*:*:*:*:*:*:*:*
Python 3.10.4 pip Bootstrap (64-bit),Python Software Foundation,cpe:2.3:a:python_software_foundation:python:*:*:*:*:*:*:*:*
Python 3.10.4 Core Interpreter (64-bit),Python Software Foundation,cpe:2.3:a:python_software_foundation:python:*:*:*:*:*:*:*:*
Intel(R) Chipset Device Software,Intel Corporation,cpe:2.3:a:intel:chipset_device_software:*:*:*:*:*:*:*:*
Node.js,Node.js Foundation,cpe:2.3:a:nodejs:nodejs:*:*:*:*:*:*:*:*
Oracle VM VirtualBox 6.1.32,Oracle Corporation,"cpe:2.3:a:oracle:vm_virtualbox:*:*:*:*:*:*:*:*
"
Python 3.10.4 Add to Path (64-bit),Python Software Foundation,cpe:2.3:a:python_software_foundation:python:*:*:*:*:*:*:*:*
Python 3.10.4 Development Libraries (64-bit),Python Software Foundation,cpe:2.3:a:python_software_foundation:python:*:*:*:*:*:*:*:*
Microsoft Visual Studio Installer,Microsoft Corporation,cpe:2.3:a:microsoft:visual_studio:*:*:*:*:*:*:*:*
Python 3.10.4 Utility Scripts (64-bit),Python Software Foundation,cpe:2.3:a:python_software_foundation:python:*:*:*:*:*:*:*:*
Office 16 Click-to-Run Licensing Component,Microsoft Corporation,cpe:2.3:a:microsoft:office:*:*:*:*:*:*:*:*
Office 16 Click-to-Run Extensibility Component,Microsoft Corporation,cpe:2.3:a:microsoft:office:*:*:*:*:*:*:*:*
Office 16 Click-to-Run Localization Component,Microsoft Corporation,cpe:2.3:a:microsoft:office:*:*:*:*:*:*:*:*
MongoDB 5.0.6 2008R2Plus SSL (64 bit),MongoDB Inc.,cpe:2.3:a:mongodb:mongodb:*:*:*:*:*:*:*:*
Python 3.10.4 Test Suite (64-bit),Python Software Foundation,cpe:2.3:a:python_software_foundation:python:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.31.31103,Microsoft Corporation,cpe:2.3:a:microsoft:visual_studio:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.31.31103,Microsoft Corporation,cpe:2.3:a:microsoft:visual_studio:*:*:*:*:*:*:*:*
NVIDIA Graphics Driver 462.30,NVIDIA Corporation,cpe:2.3:a:nvidia:binary_graphics_driver:*:*:*:*:*:*:*:*
NVIDIA GeForce Experience 3.20.4.14,NVIDIA Corporation,cpe:2.3:a:nvidia:geforce_experience:*:*:*:*:*:*:*:*
NVIDIA SHIELD Streaming,NVIDIA Corporation,cpe:2.3:a:nvidia:shield_experience:*:*:*:*:*:*:*:*
Windows Subsystem for Linux WSLg Preview,Microsoft Corporation,cpe:2.3:a:microsoft:windows_subsystem_for_linux:*:*:*:*:*:*:*:*
Python 3.10.4 Tcl/Tk Support (64-bit),Python Software Foundation,cpe:2.3:a:python_software_foundation:python:*:*:*:*:*:*:*:*
Python 3.10.4 Documentation (64-bit),Python Software Foundation,cpe:2.3:a:python_software_foundation:python:*:*:*:*:*:*:*:*
Windows Subsystem for Linux Update,Microsoft Corporation,cpe:2.3:a:microsoft:windows_subsystem_for_linux:*:*:*:*:*:*:*:*
Python 3.10.4 Executables (64-bit),Python Software Foundation,cpe:2.3:a:python_software_foundation:python:*:*:*:*:*:*:*:*
Python 3.10.4 Standard Library (64-bit),Python Software Foundation,cpe:2.3:a:python_software_foundation:python:*:*:*:*:*:*:*:*
Google Chrome,Google LLC,cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*
Microsoft Edge,Microsoft Corporation,cpe:2.3:a:microsoft:edge:*:*:*:*:*:*:*:*
Microsoft Edge Update,,cpe:2.3:a:microsoft:edge:*:*:*:*:*:*:*:*
Microsoft Edge WebView2 Runtime,Microsoft Corporation,cpe:2.3:a:microsoft:edge:*:*:*:*:*:*:*:*
McAfee LiveSafe,"McAfee, LLC",cpe:2.3:a:mcafee:livesafe:*:*:*:*:*:*:*:*
Lenovo Vantage Service,Lenovo Group Ltd.,cpe:2.3:a:lenovo:vantage:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.31.31103,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
WebAdvisor by McAfee,"McAfee, LLC",cpe:2.3:mcafee:webadvisor:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.31.31103,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.31.31103,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.31.31103,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Python Launcher,Python Software Foundation,cpe:2.3:a:python_software_foundation:python:*:*:*:*:*:*:*:*
Intel(R) Chipset Device Software,Intel(R) Corporation,cpe:2.3:intel:chipset_device_software:*:*:*:*:*:*:*:*
MobaXterm,Mobatek,cpe:2.3:mobatek:mobaxterm:*:*:*:*:*:*:*:*
MongoDB Compass,MongoDB Inc,cpe:2.3:mongodb:compass:*:*:*:*:*:*:*:*
Microsoft OneDrive,Microsoft Corporation,cpe:2.3:a:microsoft:onedrive:*:*:*:*:*:*:*:*
Python 3.10.4 (64-bit),Python Software Foundation,cpe:2.3:a:python_software_foundation:python:*:*:*:*:*:*:*:*
Microsoft Visual Studio Code (User),Microsoft Corporation,cpe:2.3:a:microsoft:visual_studio:*:*:*:*:*:*:*:*
7-Zip 15.05 beta x64,,cpe:2.3:a:7-Zip:7-Zip:*:*:*:*:*:*:*:*
Notepad++ (64-bit x64),Notepad++ Team,cpe:2.3:a:notepad-plus-plus:notepad\ \:*:*:*:*:*:*:*:*
Sublime Text 3,Sublime HQ Pty Ltd,cpe:2.3:a:sublimetext:sublime_text_3:*:*:*:*:*:*:*:*
Vim 8.1 (self-installing),,cpe:2.3:a:vim:vim:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.30.30708,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2010 x64 Redistributable - 10.0.40219,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Python 3.7.9 Utility Scripts (64-bit),Python Software Foundation,cpe:2.3:a:python_software_foundation:python:*:*:*:*:*:*:*:*
Java 8 Update 311 (64-bit),Oracle Corporation,cpe:2.3:a:oracle:java:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40660,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Python 3.7.9 pip Bootstrap (64-bit),Python Software Foundation,cpe:2.3:a:python_software_foundation:python:*:*:*:*:*:*:*:*
Microsoft Office Office 64-bit Components 2007,Microsoft Corporation,cpe:2.3:a:microsoft:office:*:*:*:*:*:*:*:*
Microsoft Office Shared 64-bit MUI (English) 2007,Microsoft Corporation,cpe:2.3:a:microsoft:office:*:*:*:*:*:*:*:*
Microsoft Office Shared 64-bit Setup Metadata MUI (English) 2007,Microsoft Corporation,cpe:2.3:a:microsoft:office:*:*:*:*:*:*:*:*
